id,title,price_chf,leasing_text,first_registration,car_type,mileage_km,transmission,fuel,drive,power_hp,power_kw,mfk,warranty,warranty_text,equipment,description,image_urls
1,BMW 520d xDrive 48V M Sport Steptronic,42890,Ab 580.- pro Monat ohne Anzahlung,08.2021,Limousine,55000,Automatik,Diesel,Allrad,190,140,True,True,"Ab 1. Inverkehrsetzung, 19.08.2021, 24 Monate oder 100'000 km",Ambientes Licht;Mild-Hybrid;Rückfahrkamera;Sportsitze,"Top gepflegt, M Sport Paket",https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/bmw1.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/bmw2.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/bmw3.jpg
2,Audi A4 Avant S line 40 TDI,38900,Ab 530.- mtl.,07.2020,Kombi,62000,Automatik,Diesel,Front,204,150,True,True,"Audi Occasion Plus, 12 Monate Garantie",LED Scheinwerfer;S line Exterieur;Spurhalteassistent,Gepflegtes Nichtraucherfahrzeug,https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/audia1.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/audia2.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/audia3.jpg
3,Mercedes-Benz C 200 AMG Line,39900,Ab 545.- mtl.,05.2021,Limousine,48000,Automatik,Benzin,Hinterrad,204,150,True,True,24 Monate Garantie,AMG-Paket;Panoramadach;360° Kamera,Sehr guter Zustand,https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/mercedes1.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/mercedes2.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/mercedes3.jpg
4,Volkswagen Golf 8 GTI,35900,Ab 490.- mtl.,06.2022,Limousine,23000,Automatik,Benzin,Front,245,180,True,True,Werksgarantie bis 2026,Digital Cockpit;Sportsitze;Ambientebeleuchtung,"Neuwertig, unfallfrei",https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/vwgolf1.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/vwgolf2.jpg
5,Škoda Octavia Combi Style 2.0 TDI,29900,Ab 410.- mtl.,09.2021,Kombi,45000,Manuell,Diesel,Front,150,110,True,True,12 Monate Garantie,Navi;Sitzheizung;Parkpilot,"Sparsam, viel Platz",https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/skoda1.jpg
6,Volvo XC60 B4 AWD Momentum,48900,Ab 650.- mtl.,03.2022,SUV,30000,Automatik,Diesel,Allrad,197,145,True,True,Volvo Selekt Garantie,Spurhalteassistent;Pilot Assist;Leder,"Schweizer Fahrzeug, Scheckheft",https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/volvo1.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/volvo2.jpg
7,Tesla Model 3 Long Range AWD,44900,Ab 620.- mtl.,12.2021,Limousine,27000,Automatik,Elektro,Allrad,351,258,True,True,Tesla Garantie bis 2025,Autopilot;Glasdach;Sitzheizung,"Unfallfrei, 1. Hand",https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/tesla1.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/tesla2.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/tesla3.jpg
8,Ford Mustang GT 5.0 V8,45900,Ab 610.- mtl.,01.2022,Coupé,15000,Automatik,Benzin,Hinterrad,450,331,True,True,5 Jahre Garantie,Performance Paket;Leder;Rückfahrkamera,"Echte Muscle Car Power",https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/ford1.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/ford2.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/ford3.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/ford4.jpg
9,Peugeot 3008 Allure Pack PureTech 130,31900,Ab 440.- mtl.,04.2021,SUV,35000,Automatik,Benzin,Front,130,96,True,True,12 Monate Händlergarantie,Keyless;Kamera;Touchscreen,Komfortables Familienfahrzeug,https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/peugeot1.jpg;https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/peugeot2.jpg
10,Honda Civic Sport 1.5 VTEC Turbo,28900,Ab 390.- mtl.,10.2020,Limousine,60000,Manuell,Benzin,Front,182,134,True,True,12 Monate Garantie,Sportpaket;Rückfahrkamera;Sitzheizung,"Top Zustand, viele Extras",https://astro-backend-data-bucket.s3.eu-central-1.amazonaws.com/images/honda1.jpg
